,,,Validation Dataset,,,,,,Probability of being Plankton,,,,TSNE coordinates per model,,,,,,,,
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_369_2017-09-16_01_09_39.011_1930_737.png,Detritus,N,N,N,N,0.8003284,0.9473269,0.9856036,0.9899198,5.4093738,-3.7962582,3.5483425,-60.921356,25.84789,-11.509986,30.140335,10.601022,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_915_2017-09-21_00_08_23.959_1645_1222.png,Detritus,N,N,N,N,0.7542458,0.51961786,0.9665435,0.92394036,-25.088432,39.364845,-22.131449,-71.77431,-29.576403,38.106964,27.92402,28.781214,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_127_2017-09-24_11_58_30.642_1040_1936.png,Detritus,N,N,N,N,0.7252072,0.93378156,0.87005,0.946625,9.47805,-12.208012,-9.051763,-63.840275,24.492304,-46.388996,-5.4497976,-43.513763,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_334_2017-09-17_21_54_18.614_193_456.png,Detritus,N,N,N,N,0.56308216,0.83215284,0.9437961,0.9983752,-21.751703,39.35612,5.936226,-51.831337,17.296005,34.055916,39.927788,14.118986,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_373_2017-09-16_01_09_39.011_293_50.png,Detritus,N,N,N,N,0.9983224,0.8856604,0.9983165,0.9989791,42.343227,5.6454787,16.523134,-43.239033,-2.6309624,-24.782194,28.938093,-18.886717,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_791_2017-09-22_06_00_04.648_840_480.png,Detritus,N,N,N,N,0.78529066,0.78929573,0.9894159,0.783521,-5.799971,18.171986,-2.1213503,-43.848766,10.308175,-24.065874,-2.2035513,20.076159,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_484_2017-09-17_08_52_09.774_536_1382.png,Detritus,N,N,N,N,0.9919458,0.9982821,0.99998295,0.997666,83.50017,-5.9179525,65.504005,18.155897,31.527903,-63.47983,0.60392904,-34.826263,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_229_2017-09-19_10_32_46.066_1383_693.png,Detritus,N,N,N,N,0.9578434,0.9290169,0.7525684,0.925854,29.29666,-17.636942,-3.2043097,-60.69443,11.659728,-33.544983,28.77467,-37.265675,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_912_2017-09-21_00_08_23.959_1079_1787.png,Detritus,N,N,N,N,0.9152696,0.99651176,0.92111164,0.86447895,17.892155,1.105175,35.15137,-42.58392,-35.496258,42.552906,33.78009,46.10409,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_331_2017-09-30_06_04_25.087_1378_674.png,Detritus,N,N,N,N,0.56614035,0.92404765,0.9922091,0.97970414,37.054565,-14.684834,46.924557,-27.078249,30.781164,-37.393223,-21.142683,-59.74755,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_783_2017-09-16_00_06_14.278_1814_1617.png,Detritus,N,N,N,N,0.5427286,0.91650647,0.9047077,0.54370606,11.549491,-7.17946,15.902762,-55.12769,16.792864,5.030308,-41.029377,-9.190092,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_914_2017-09-21_00_08_23.959_768_108.png,Detritus,N,N,N,N,0.97993773,0.83344287,0.99259394,0.7887346,30.81979,-22.54878,9.335443,-52.62731,12.783481,-40.414146,13.89451,-28.944616,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_933_2017-09-20_15_36_29.632_154_733.png,Detritus,N,N,N,N,0.9721439,0.82939214,0.71013045,0.69401205,2.0189137,19.25066,-27.104794,-40.660164,10.785651,-5.9379044,-10.73325,19.23789,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_816_2017-09-21_18_07_51.879_950_997.png,Detritus,N,N,N,N,0.9788375,0.9934168,0.85091305,0.9980805,53.00953,-15.22822,37.73286,-31.292904,31.763113,-31.470453,-14.526758,-47.03112,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_630_2017-09-20_23_57_16.170_893_1861.png,Detritus,N,N,N,N,0.9977908,0.9423969,0.86406934,0.9945538,39.92618,-6.603178,-4.0805554,-54.81671,0.01656767,35.982956,-11.451437,-17.765408,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_681_2017-09-30_06_04_25.087_510_1567.png,Detritus,N,N,N,N,0.87555516,0.79207075,0.9945426,0.9881967,46.033047,-18.62995,-3.3259985,-53.958256,18.247168,-34.80683,-21.62408,-50.578156,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_416_2017-09-18_09_53_01.896_414_1192.png,Detritus,N,N,N,N,0.5556507,0.7255257,0.83841574,0.7911841,5.5495257,-11.916401,-15.69286,-62.990284,-13.909332,-22.841045,17.293148,-29.920044,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_145_2017-09-24_00_06_17.008_552_314.png,Detritus,N,N,N,N,0.9135908,0.9346234,0.98761266,0.89407504,19.830692,-8.215587,24.381908,-54.4509,3.8248913,-20.546446,-14.0789585,18.945267,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_330_2017-09-19_10_32_46.066_56_1131.png,Detritus,N,N,N,N,0.85757715,0.9636408,0.8542,0.63263154,23.88331,-15.497549,17.22151,-52.299473,6.5893693,11.009934,-7.7569704,-11.978554,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_719_2017-10-06_20_57_23.135_568_1762.png,Detritus,N,N,N,N,0.9704367,0.8249636,0.9990771,0.9895583,13.505921,-19.959349,8.973234,-54.43684,27.20864,-49.3491,-27.434074,-36.362675,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_235_2017-09-16_03_16_29.254_1616_1532.png,Detritus,N,N,N,N,0.8925517,0.9846808,0.9999994,0.99640536,-5.151124,31.481966,10.741165,-58.324707,13.146272,38.806866,0.93437797,-7.290921,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_273_2017-09-28_18_05_31.581_586_644.png,Detritus,N,N,N,N,0.92556196,0.86887866,0.9952419,0.9950595,28.209627,-5.720055,-7.0408044,-59.23367,18.310827,-17.867985,8.433945,-60.179634,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_448_2017-09-21_11_27_13.664_3_1556_-_Cópia.png,Detritus,N,N,N,N,0.8904447,0.8949525,0.8901276,0.68440855,-16.572632,34.99043,52.29714,68.976,-3.7030454,30.07425,-50.24455,-15.12919,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_191_2017-09-16_11_01_32.735_1793_840.png,Detritus,N,N,N,N,0.95700467,0.9811839,0.9999621,0.99321234,59.40618,-20.004597,27.605831,-40.350986,49.15056,-25.461662,35.41061,48.78875,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_806_2017-09-20_18_56_48.413_161_1436.png,Detritus,N,N,N,N,0.9999963,0.9996166,0.9365275,0.9801528,73.91937,11.781605,50.211926,50.37518,-7.7749844,-42.16247,25.62718,21.841833,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_24_2017-09-20_23_01_37.642_0_350.png,Detritus,N,N,N,N,0.9949096,0.9944681,0.9485871,0.89198035,92.883026,-12.04397,55.54853,8.963498,24.551798,-18.486113,29.024439,-38.795155,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_593_2017-09-19_01_02_00.347_652_97.png,Detritus,N,N,N,N,0.801589,0.68479854,0.99912804,0.8953136,55.968773,-19.845842,12.530727,-43.779266,43.370342,-57.515896,29.370934,-37.545055,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_913_2017-09-21_00_08_23.959_736_967.png,Detritus,N,N,N,N,0.89278793,0.9206703,0.99959856,0.96619105,31.230463,-19.233807,16.653288,-46.384586,16.56284,-35.144726,12.459434,-31.458998,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_913_2017-09-21_00_08_23.959_507_268.png,Detritus,N,N,N,N,0.9913429,0.9078488,0.9777434,0.85774064,34.567913,-22.587767,9.369517,-53.205532,24.3037,-22.730946,27.452372,-36.210857,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_526_2017-09-18_16_55_49.058_981_568.png,Detritus,N,N,N,N,0.9044018,0.9644719,0.99830097,0.9501776,23.052637,-17.482718,22.442705,-55.26831,31.409252,-32.67324,-1.909726,-72.24042,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_636_2017-09-29_12_04_58.884_966_1568.png,Detritus,N,N,N,N,0.95871407,0.9942433,0.89523387,0.9889331,35.138496,-9.478478,35.719704,-29.461073,40.526024,-29.486912,16.595087,-58.390038,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_5_2017-09-21_04_13_13.353_1984_1178.png,Detritus,N,N,N,N,0.85719913,0.79803956,0.91990334,0.89482105,18.656681,-16.225935,-1.2502418,-54.363598,21.741789,39.559227,-36.912506,-15.579807,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_685_2017-09-29_12_04_58.884_477_1613.png,Detritus,N,N,N,N,0.5186578,0.6024686,0.7185117,0.65088636,-20.562916,25.150774,-26.768513,-64.10705,10.541886,17.94903,-17.862026,-28.01128,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_374_2017-09-27_12_02_43.349_1755_1184.png,Detritus,N,N,N,N,0.8933047,0.80789477,0.6309419,0.97083604,39.455242,-17.094582,-10.391447,-59.296425,33.896408,-27.877876,9.302862,-62.473633,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_636_2017-09-21_18_07_51.879_607_1916.png,Detritus,N,N,N,N,0.8845253,0.9392215,0.7993463,0.86244637,4.5376267,-17.142828,-14.380459,-62.336994,27.929033,-25.256126,-2.668092,-54.912422,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_966_2017-09-20_18_01_09.974_440_1609.png,Detritus,N,N,N,N,0.99630237,0.99067444,0.9770906,0.9777344,27.94353,2.4547167,38.341694,-29.789837,42.066563,-1.180073,35.5203,-45.37804,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_139_2017-09-19_09_50_29.580_20_1126.png,Detritus,N,N,N,N,0.9098437,0.9573454,0.50090545,0.96717256,10.986123,1.6350222,1.8859751,-56.195484,7.7017155,13.927874,-26.831345,-5.7332053,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_916_2017-09-20_15_36_29.632_1985_443.png,Detritus,N,N,N,N,0.5785805,0.5606615,0.93979245,0.64456487,-22.500683,24.897663,-21.205605,-45.947678,8.090056,21.992483,2.89826,-14.818283,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_449_2017-09-16_01_09_39.011_336_982.png,Detritus,N,N,N,N,0.54333144,0.67636335,0.99108726,0.9985392,18.671724,-13.6601925,19.15422,-34.10913,21.237404,-58.20402,-44.517494,-48.435734,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_936_2017-09-20_23_57_16.170_214_1529.png,Detritus,N,N,N,N,0.8326943,0.6409349,0.5184417,0.6717692,-35.828728,33.09715,-13.564276,-61.410637,-15.619142,-39.546745,44.408123,46.39454,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_912_2017-09-20_23_46_08.531_886_759.png,Detritus,N,N,N,N,0.991089,0.83993804,0.9930252,0.8752974,52.20188,-26.205765,54.45915,-11.256329,-0.87502325,37.13219,-12.78744,-19.311686,4
